route_id,route_name,time_band,response_count,mean_risk_ordinal,risk_score
eziobodo-junction-to-futo-back-gate,Eziobodo Junction to FUTO Back Gate,10:00 AM - 1:00 PM,112,1.3750,0.2188
eziobodo-junction-to-futo-back-gate,Eziobodo Junction to FUTO Back Gate,1:00 PM - 4:00 PM,112,1.4286,0.2321
eziobodo-junction-to-futo-back-gate,Eziobodo Junction to FUTO Back Gate,4:00 PM - 7:00 PM,112,2.1429,0.4107
eziobodo-junction-to-futo-back-gate,Eziobodo Junction to FUTO Back Gate,7:00 AM - 10:00 AM,112,1.7589,0.3147
eziobodo-junction-to-futo-back-gate,Eziobodo Junction to FUTO Back Gate,7:00 PM - 10:00 PM,112,3.2946,0.6987
futo-main-gate-to-1000-caps-following-under-the-bridge,FUTO Main Gate to 1000 CAPS (following under the bridge),10:00 AM - 1:00 PM,112,1.4107,0.2277
futo-main-gate-to-1000-caps-following-under-the-bridge,FUTO Main Gate to 1000 CAPS (following under the bridge),1:00 PM - 4:00 PM,112,1.5000,0.2500
futo-main-gate-to-1000-caps-following-under-the-bridge,FUTO Main Gate to 1000 CAPS (following under the bridge),4:00 PM - 7:00 PM,112,2.3929,0.4732
futo-main-gate-to-1000-caps-following-under-the-bridge,FUTO Main Gate to 1000 CAPS (following under the bridge),7:00 AM - 10:00 AM,112,1.9018,0.3504
futo-main-gate-to-1000-caps-following-under-the-bridge,FUTO Main Gate to 1000 CAPS (following under the bridge),7:00 PM - 10:00 PM,112,3.4196,0.7299
futo-main-gate-to-eziobodo-junction,FUTO Main Gate to Eziobodo Junction,10:00 AM - 1:00 PM,112,1.2321,0.1830
futo-main-gate-to-eziobodo-junction,FUTO Main Gate to Eziobodo Junction,1:00 PM - 4:00 PM,112,1.2679,0.1920
futo-main-gate-to-eziobodo-junction,FUTO Main Gate to Eziobodo Junction,4:00 PM - 7:00 PM,112,1.8482,0.3371
futo-main-gate-to-eziobodo-junction,FUTO Main Gate to Eziobodo Junction,7:00 AM - 10:00 AM,112,1.5179,0.2545
futo-main-gate-to-eziobodo-junction,FUTO Main Gate to Eziobodo Junction,7:00 PM - 10:00 PM,112,2.9911,0.6228
futo-main-gate-to-school-roundabout,FUTO Main Gate to School Roundabout,10:00 AM - 1:00 PM,112,1.2054,0.1763
futo-main-gate-to-school-roundabout,FUTO Main Gate to School Roundabout,1:00 PM - 4:00 PM,112,1.3304,0.2076
futo-main-gate-to-school-roundabout,FUTO Main Gate to School Roundabout,4:00 PM - 7:00 PM,112,2.0804,0.3951
futo-main-gate-to-school-roundabout,FUTO Main Gate to School Roundabout,7:00 AM - 10:00 AM,112,1.6071,0.2768
futo-main-gate-to-school-roundabout,FUTO Main Gate to School Roundabout,7:00 PM - 10:00 PM,112,3.2679,0.6920
hostel-area-to-futo-main-gate,Hostel Area to FUTO Main Gate,10:00 AM - 1:00 PM,112,1.1696,0.1674
